HQ539690.1	1004484	Amanita egregia	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Pluteineae;Amanitaceae;Amanita;Amanita egregia
HQ539692.1	1004485	Amanita farinacea	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Pluteineae;Amanitaceae;Amanita;Amanita farinacea
HQ539699.1	1004500	Amanita gracilior	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Pluteineae;Amanitaceae;Amanita;Amanita gracilior
HQ539711.1	1004506	Amanita murinoflammeum	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Pluteineae;Amanitaceae;Amanita;Amanita murinoflammeum
HQ539714.1	1004508	Amanita mutabilis	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Pluteineae;Amanitaceae;Amanita;Amanita mutabilis
HQ539718.1	1004509	Amanita onusta	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Pluteineae;Amanitaceae;Amanita;Amanita onusta
HQ539721.1	1004510	Amanita pelioma	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Pluteineae;Amanitaceae;Amanita;Amanita pelioma
HQ593122.1	1004511	Amanita polypyramis	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Pluteineae;Amanitaceae;Amanita;Amanita polypyramis
HQ539726.1	1004513	Amanita praelongispora	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Pluteineae;Amanitaceae;Amanita;Amanita praelongispora
HQ539728.1	1004514	Amanita proxima	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Pluteineae;Amanitaceae;Amanita;Amanita proxima
HQ539730.1	1004515	Amanita pudica	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Pluteineae;Amanitaceae;Amanita;Amanita pudica
HQ539731.1	1004516	Amanita pulverulenta	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Pluteineae;Amanitaceae;Amanita;Amanita pulverulenta
HQ539734.1	1004517	Amanita ristichii	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Pluteineae;Amanitaceae;Amanita;Amanita ristichii
HQ539749.1	1004523	Amanita sublutea	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Pluteineae;Amanitaceae;Amanita;Amanita sublutea
HQ539750.1	1004524	Amanita subsolitaria	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Pluteineae;Amanitaceae;Amanita;Amanita subsolitaria
HQ539758.1	1004526	Amanita wellsii	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Pluteineae;Amanitaceae;Amanita;Amanita wellsii
HQ539759.1	1004527	Amanita westii	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Pluteineae;Amanitaceae;Amanita;Amanita westii
KC869639.1	1004761	Neofibularia hartmani	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Porifera;Demospongiae;Heteroscleromorpha;Biemnida;Biemnidae;Neofibularia;Neofibularia hartmani
JF272764.1	1005361	Moestrupia oblonga	cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Moestrupia;Moestrupia oblonga
JF263494.1	1005735	Porotenus biporus	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Pucciniomycetes;Pucciniales;Raveneliaceae;Porotenus;Porotenus biporus
AY157240.1	100590	Bilharziella polonica	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Trematoda;Digenea;Strigeidida;Schistosomatoidea;Schistosomatidae;Bilharziella;Bilharziella polonica
AY157248.1	100598	Ornithobilharzia canaliculata	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Trematoda;Digenea;Strigeidida;Schistosomatoidea;Schistosomatidae;Ornithobilharzia;Ornithobilharzia canaliculata
AY157243.1	100602	Trichobilharzia ocellata	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Trematoda;Digenea;Strigeidida;Schistosomatoidea;Schistosomatidae;Trichobilharzia;Trichobilharzia ocellata
HQ539685.1	1006924	Amanita costaricensis	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Pluteineae;Amanitaceae;Amanita;Amanita costaricensis
HQ539732.1	1006926	Amanita pyramidiferina	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Pluteineae;Amanitaceae;Amanita;Amanita pyramidiferina
AF160227.1	100992	Arachnocrea stipata	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Hypocreaceae;Arachnocrea;Arachnocrea stipata
AF160229.1	100995	Cladobotryum stereicola	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Hypocreaceae;Cladobotryum;Cladobotryum stereicola
AF160234.1	100998	Sporophagomyces chrysostomus	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Hypocreaceae;Sporophagomyces;Sporophagomyces chrysostomus
AF160237.1	101000	Hypomyces luteovirens	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Hypocreaceae;Hypomyces;Hypomyces luteovirens
AF160243.1	101004	Hypomyces stephanomatis	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Hypocreaceae;Hypomyces;Hypomyces stephanomatis
HQ616536.1	1010594	Annulatascus nilensis	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Sordariomycetidae;Annulatascales;Annulatascaceae;Fusoidigranularius;Fusoidigranularius nilensis
JN940877.1	101098	Gamsiella multidivaricata	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mortierellomycotina;Mortierellomycetes;Mortierellales;Mortierellaceae;Gamsiella;Gamsiella multidivaricata
EF095261.1	101341	Proteocephalus macrocephalus	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Cestoda;Eucestoda;Proteocephalidea;Proteocephalidae;Proteocephalinae;Proteocephalus;Proteocephalus macrocephalus
AJ270165.1	101478	Archotoplana holotricha	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Rhabditophora;Seriata;Proseriata;Otoplanidae;Archotoplana;Archotoplana holotricha
KM103471.1	101611	Cyclanthus bipartitus	cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Liliopsida;Petrosaviidae;Pandanales;Cyclanthaceae;Cyclanthus;Cyclanthus bipartitus
GU187587.1	101661	Leucogyrophana olivascens	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Boletales;Coniophorineae;Coniophoraceae;Penttilamyces;Penttilamyces olivascens
AY645059.1	101662	Paxillus vernalis	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Boletales;Paxilineae;Paxillaceae;Paxillus;Paxillus vernalis
KM103480.1	101696	Dasypogon bromeliifolius	cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Liliopsida;Petrosaviidae;commelinids;Arecales;Dasypogonaceae;Dasypogon;Dasypogon bromeliifolius
DQ470967.1	101854	Pezicula carpinea	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Leotiomycetes;Helotiales;Dermateaceae;Pezicula;Pezicula carpinea
AF419107.2	101920	Bangia fuscopurpurea	cellular organisms;Eukaryota;Rhodophyta;Bangiophyceae;Bangiales;Bangiaceae;Bangia;Bangia fuscopurpurea
AF419992.1	102165	Closterium ehrenbergii	cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Zygnematophyceae;Zygnematophycidae;Desmidiales;Closteriaceae;Closterium;Closterium ehrenbergii
AY603697.1	10228	Trichoplax adhaerens	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Placozoa;Uniplacotomia;Trichoplacea;Trichoplacidae;Trichoplax;Trichoplax adhaerens
KC429434.1	102305	Lima lima	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Bivalvia;Autobranchia;Pteriomorphia;Limoida;Limidae;Lima;Lima lima
KX713388.1	102321	Hyotissa hyotis	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Bivalvia;Autobranchia;Pteriomorphia;Ostreida;Ostreoidea;Gryphaeidae;Hyotissa;Hyotissa hyotis
KT757848.1	102323	Isognomon legumen	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Bivalvia;Autobranchia;Pteriomorphia;Pterioida;Pterioidea;Isognomonidae;Isognomon;Isognomon legumen
KC429446.1	102329	Pinctada margaritifera	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Bivalvia;Autobranchia;Pteriomorphia;Pterioida;Pterioidea;Pteriidae;Pinctada;Pinctada margaritifera
KJ366146.1	102331	Pinna muricata	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Bivalvia;Autobranchia;Pteriomorphia;Pterioida;Pinnoidea;Pinnidae;Pinna;Pinna muricata
HM171286.1	1027746	Lasiosphaeriella pseudobombarda	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Sordariomycetidae;Sordariomycetidae incertae sedis;Lasiosphaeriella;Lasiosphaeriella pseudobombarda
HM171292.1	1027747	Rimaconus coronatus	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Sordariomycetidae;Sordariomycetidae incertae sedis;Rimaconus;Rimaconus coronatus
KF291190.1	1032710	Hygrocybe pseudoconica	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Hygrophorineae;Hygrophoraceae;Hygrocybe;Hygrocybe pseudoconica
AY586687.1	103381	Lopharia cinerascens	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetes incertae sedis;Polyporales;Polyporaceae;Lopharia;Lopharia cinerascens
HQ180170.1	1033849	Tulosesus mitrinodulisporus	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Agaricineae;Psathyrellaceae;Ephemerocybe;Ephemerocybe mitrinodulispora
KJ141193.1	103395	Veluticeps berkeleyi	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetes incertae sedis;Gloeophyllales;Gloeophyllaceae;Veluticeps;Veluticeps berkeleyi
KC157591.1	1034350	Jania sagittata	cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Corallinophycidae;Corallinales;Corallinaceae;Corallinoideae;Jania;Jania sagittata
DQ256737.1	1034356	Galba obrussa	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Gastropoda;Heterobranchia;Euthyneura;Panpulmonata;Hygrophila;Lymnaeoidea;Lymnaeidae;Galba;Galba obrussa
JF357713.1	1035124	Thaumastoderma moebjergi	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Gastrotricha;Macrodasyida;Thaumastodermatidae;Thaumastoderma;Thaumastoderma moebjergi
JF357679.1	1035125	Thaumastoderma ramuliferum	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Gastrotricha;Macrodasyida;Thaumastodermatidae;Thaumastoderma;Thaumastoderma ramuliferum
